model,model_release_date
Always 0,
Always 0.5,
Always 1,
Claude-2.1 (scratchpad with freeze values),2023-11-21
Claude-2.1 (scratchpad with news with freeze values),2023-11-21
Claude-2.1 (scratchpad with news),2023-11-21
Claude-2.1 (scratchpad),2023-11-21
Claude-2.1 (superforecaster with news 1),2023-11-21
Claude-2.1 (superforecaster with news 2),2023-11-21
Claude-2.1 (superforecaster with news 3),2023-11-21
Claude-2.1 (zero shot with freeze values),2023-11-21
Claude-2.1 (zero shot),2023-11-21
Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),2024-06-20
Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),2024-06-20
Claude-3-5-Sonnet-20240620 (scratchpad with news with freeze values),2024-06-20
Claude-3-5-Sonnet-20240620 (scratchpad with news),2024-06-20
Claude-3-5-Sonnet-20240620 (scratchpad),2024-06-20
Claude-3-5-Sonnet-20240620 (superforecaster with news 1),2024-06-20
Claude-3-5-Sonnet-20240620 (superforecaster with news 2),2024-06-20
Claude-3-5-Sonnet-20240620 (superforecaster with news 3),2024-06-20
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),2024-06-20
Claude-3-5-Sonnet-20240620 (zero shot),2024-06-20
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),2024-10-22
Claude-3-5-Sonnet-20241022 (scratchpad),2024-10-22
Claude-3-5-Sonnet-20241022 (zero shot with freeze values),2024-10-22
Claude-3-5-Sonnet-20241022 (zero shot),2024-10-22
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),2025-02-24
Claude-3-7-Sonnet-20250219 (scratchpad),2025-02-24
Claude-3-7-Sonnet-20250219 (zero shot with freeze values),2025-02-24
Claude-3-7-Sonnet-20250219 (zero shot),2025-02-24
Claude-3-Haiku-20240307 (scratchpad with freeze values),2024-03-13
Claude-3-Haiku-20240307 (scratchpad with news with freeze values),2024-03-13
Claude-3-Haiku-20240307 (scratchpad with news),2024-03-13
Claude-3-Haiku-20240307 (scratchpad),2024-03-13
Claude-3-Haiku-20240307 (superforecaster with news 1),2024-03-13
Claude-3-Haiku-20240307 (superforecaster with news 2),2024-03-13
Claude-3-Haiku-20240307 (superforecaster with news 3),2024-03-13
Claude-3-Haiku-20240307 (zero shot with freeze values),2024-03-13
Claude-3-Haiku-20240307 (zero shot),2024-03-13
Claude-Haiku-4-5-20251001 (scratchpad with freeze values),2025-10-01
Claude-Haiku-4-5-20251001 (scratchpad),2025-10-01
