arena,leaderboard,pretty_name
claude-3-5-sonnet-20240620,Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),Claude-3.5-Sonnet
claude-3-5-sonnet-20240620,Claude-3-5-Sonnet-20240620 (scratchpad with news with freeze values),Claude-3.5-Sonnet
gpt-4-turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (zero shot with freeze values),GPT-4-Turbo
claude-3-5-sonnet-20240620,Claude-3-5-Sonnet-20240620 (zero shot with freeze values),Claude-3.5-Sonnet
gpt-4-0613,GPT-4 (zero shot with freeze values),GPT-4
gpt-4o-2024-05-13,GPT-4o (scratchpad with news with freeze values),GPT-4o
claude-3-5-sonnet-20240620,Claude-3-5-Sonnet-20240620 (scratchpad),Claude-3.5-Sonnet
gpt-4o-2024-05-13,GPT-4o (scratchpad with freeze values),GPT-4o
claude-3-5-sonnet-20240620,Claude-3-5-Sonnet-20240620 (scratchpad with news),Claude-3.5-Sonnet
claude-3-opus-20240229,Claude-3-Opus-20240229 (zero shot with freeze values),Claude-3-Opus
claude-3-5-sonnet-20240620,Claude-3-5-Sonnet-20240620 (superforecaster with news 3),Claude-3.5-Sonnet
gpt-4o-2024-05-13,GPT-4o (scratchpad),GPT-4o
claude-3-5-sonnet-20240620,Claude-3-5-Sonnet-20240620 (superforecaster with news 1),Claude-3.5-Sonnet
gpt-4o-2024-05-13,GPT-4o (scratchpad with news),GPT-4o
claude-3-opus-20240229,Claude-3-Opus-20240229 (scratchpad with freeze values),Claude-3-Opus
mistral-large-2402,Mistral-Large-Latest (zero shot with freeze values),Mistral-Large-Latest
gemini-1.5-pro-001,Gemini-1.5-Pro (scratchpad with news with freeze values),Gemini-1.5-Pro
gemini-1.5-pro-001,Gemini-1.5-Pro (scratchpad),Gemini-1.5-Pro
mistral-large-2402,Mistral-Large-Latest (scratchpad with freeze values),Mistral-Large-Latest
gpt-4-turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (zero shot),GPT-4-Turbo
gpt-4-turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (scratchpad with freeze values),GPT-4-Turbo
gpt-4-0613,GPT-4 (scratchpad with freeze values),GPT-4
gemini-1.5-pro-001,Gemini-1.5-Pro (scratchpad with freeze values),Gemini-1.5-Pro
claude-3-5-sonnet-20240620,Claude-3-5-Sonnet-20240620 (zero shot),Claude-3.5-Sonnet
gemini-1.5-pro-001,Gemini-1.5-Pro (scratchpad with news),Gemini-1.5-Pro
claude-3-opus-20240229,Claude-3-Opus-20240229 (superforecaster with news 1),Claude-3-Opus
gpt-4-turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (scratchpad with news with freeze values),GPT-4-Turbo
gpt-4o-2024-05-13,GPT-4o (zero shot with freeze values),GPT-4o
llama-3-70b-instruct,Llama-3-70b-Chat-Hf (scratchpad with freeze values),Llama-3-70b
mixtral-8x22b-instruct-v0.1,Mixtral-8x22B-Instruct-V0.1 (scratchpad with freeze values),Mixtral-8x22b
gpt-4-turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (scratchpad),GPT-4-Turbo
gemini-1.5-pro-001,Gemini-1.5-Pro (zero shot with freeze values),Gemini-1.5-Pro
claude-3-opus-20240229,Claude-3-Opus-20240229 (scratchpad),Claude-3-Opus
gpt-4-0613,GPT-4 (scratchpad),GPT-4
qwen1.5-110b-chat,Qwen1.5-110B-Chat (zero shot with freeze values),Qwen1.5-110b
claude-2.1,Claude-2.1 (scratchpad with freeze values),Claude-2.1
gemini-1.5-flash-001,Gemini-1.5-Flash (zero shot with freeze values),Gemini-1.5-Flash
mixtral-8x22b-instruct-v0.1,Mixtral-8x22B-Instruct-V0.1 (zero shot with freeze values),Mixtral-8x22b
llama-3-70b-instruct,Llama-3-70b-Chat-Hf (zero shot with freeze values),Llama-3-70b
gpt-4-turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (scratchpad with news),GPT-4-Turbo
qwen1.5-110b-chat,Qwen1.5-110B-Chat (scratchpad with freeze values),Qwen1.5-110b
claude-2.1,Claude-2.1 (scratchpad),Claude-2.1
qwen1.5-110b-chat,Qwen1.5-110B-Chat (scratchpad with news with freeze values),Qwen1.5-110b
claude-2.1,Claude-2.1 (zero shot with freeze values),Claude-2.1
mistral-large-2402,Mistral-Large-Latest (scratchpad),Mistral-Large-Latest
claude-3-5-sonnet-20240620,Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),Claude-3.5-Sonnet
claude-3-opus-20240229,Claude-3-Opus-20240229 (zero shot),Claude-3-Opus
gpt-4o-2024-05-13,GPT-4o (superforecaster with news 3),GPT-4o
gpt-4-0613,GPT-4 (zero shot),GPT-4
gemini-1.5-pro-001,Gemini-1.5-Pro (superforecaster with news 3),Gemini-1.5-Pro
mixtral-8x22b-instruct-v0.1,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news with freeze values),Mixtral-8x22b
mixtral-8x22b-instruct-v0.1,Mixtral-8x22B-Instruct-V0.1 (scratchpad with news),Mixtral-8x22b
gpt-4o-2024-05-13,GPT-4o (zero shot),GPT-4o
qwen1.5-110b-chat,Qwen1.5-110B-Chat (scratchpad with news),Qwen1.5-110b
mixtral-8x22b-instruct-v0.1,Mixtral-8x22B-Instruct-V0.1 (scratchpad),Mixtral-8x22b
qwen1.5-110b-chat,Qwen1.5-110B-Chat (scratchpad),Qwen1.5-110b
claude-3-opus-20240229,Claude-3-Opus-20240229 (scratchpad with news with freeze values),Claude-3-Opus
claude-3-opus-20240229,Claude-3-Opus-20240229 (superforecaster with news 3),Claude-3-Opus
claude-3-5-sonnet-20240620,Claude-3-5-Sonnet-20240620 (superforecaster with news 2),Claude-3.5-Sonnet
llama-3-8b-instruct,Llama-3-8b-Chat-Hf (zero shot with freeze values),Llama-3-8b
gpt-4-turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (superforecaster with news 3),GPT-4-Turbo
mixtral-8x7b-instruct-v0.1,Mixtral-8x7B-Instruct-V0.1 (scratchpad),Mixtral-8x7b
claude-3-opus-20240229,Claude-3-Opus-20240229 (scratchpad with news),Claude-3-Opus
gemini-1.5-flash-001,Gemini-1.5-Flash (scratchpad with freeze values),Gemini-1.5-Flash
mistral-large-2402,Mistral-Large-Latest (zero shot),Mistral-Large-Latest
llama-3-8b-instruct,Llama-3-8b-Chat-Hf (scratchpad with freeze values),Llama-3-8b
claude-3-opus-20240229,Claude-3-Opus-20240229 (superforecaster with news 2),Claude-3-Opus
qwen1.5-110b-chat,Qwen1.5-110B-Chat (superforecaster with news 1),Qwen1.5-110b
gemini-1.5-pro-001,Gemini-1.5-Pro (zero shot),Gemini-1.5-Pro
mixtral-8x7b-instruct-v0.1,Mixtral-8x7B-Instruct-V0.1 (zero shot with freeze values),Mixtral-8x7b
mistral-large-2402,Mistral-Large-Latest (scratchpad with news with freeze values),Mistral-Large-Latest
mixtral-8x22b-instruct-v0.1,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 3),Mixtral-8x22b
qwen1.5-110b-chat,Qwen1.5-110B-Chat (zero shot),Qwen1.5-110b
claude-2.1,Claude-2.1 (scratchpad with news with freeze values),Claude-2.1
gpt-4o-2024-05-13,GPT-4o (superforecaster with news 1),GPT-4o
gemini-1.5-flash-001,Gemini-1.5-Flash (scratchpad with news with freeze values),Gemini-1.5-Flash
gpt-4o-2024-05-13,GPT-4o (scratchpad with SECOND news),GPT-4o
llama-3-8b-instruct,Llama-3-8b-Chat-Hf (zero shot),Llama-3-8b
mixtral-8x22b-instruct-v0.1,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 1),Mixtral-8x22b
claude-2.1,Claude-2.1 (scratchpad with news),Claude-2.1
gemini-1.5-pro-001,Gemini-1.5-Pro (superforecaster with news 1),Gemini-1.5-Pro
gpt-4-turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (superforecaster with news 1),GPT-4-Turbo
llama-3-70b-instruct,Llama-3-70b-Chat-Hf (zero shot),Llama-3-70b
mistral-large-2402,Mistral-Large-Latest (scratchpad with news),Mistral-Large-Latest
gpt-4o-2024-05-13,GPT-4o (superforecaster with news 2),GPT-4o
llama-3-70b-instruct,Llama-3-70b-Chat-Hf (scratchpad),Llama-3-70b
mixtral-8x22b-instruct-v0.1,Mixtral-8x22B-Instruct-V0.1 (zero shot),Mixtral-8x22b
gemini-1.5-flash-001,Gemini-1.5-Flash (scratchpad),Gemini-1.5-Flash
gemini-1.5-flash-001,Gemini-1.5-Flash (zero shot),Gemini-1.5-Flash
gemini-1.5-flash-001,Gemini-1.5-Flash (scratchpad with news),Gemini-1.5-Flash
mistral-large-2402,Mistral-Large-Latest (superforecaster with news 1),Mistral-Large-Latest
qwen1.5-110b-chat,Qwen1.5-110B-Chat (superforecaster with news 3),Qwen1.5-110b
mixtral-8x7b-instruct-v0.1,Mixtral-8x7B-Instruct-V0.1 (zero shot),Mixtral-8x7b
mixtral-8x7b-instruct-v0.1,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 2),Mixtral-8x7b
claude-2.1,Claude-2.1 (zero shot),Claude-2.1
gpt-4-turbo-2024-04-09,GPT-4-Turbo-2024-04-09 (superforecaster with news 2),GPT-4-Turbo
llama-3-8b-instruct,Llama-3-8b-Chat-Hf (scratchpad),Llama-3-8b
mixtral-8x22b-instruct-v0.1,Mixtral-8x22B-Instruct-V0.1 (superforecaster with news 2),Mixtral-8x22b
mistral-large-2402,Mistral-Large-Latest (superforecaster with news 3),Mistral-Large-Latest
mistral-large-2402,Mistral-Large-Latest (superforecaster with news 2),Mistral-Large-Latest
claude-2.1,Claude-2.1 (superforecaster with news 3),Claude-2.1
mixtral-8x7b-instruct-v0.1,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 1),Mixtral-8x7b
mixtral-8x7b-instruct-v0.1,Mixtral-8x7B-Instruct-V0.1 (scratchpad with freeze values),Mixtral-8x7b
gemini-1.5-pro-001,Gemini-1.5-Pro (superforecaster with news 2),Gemini-1.5-Pro
qwen1.5-110b-chat,Qwen1.5-110B-Chat (superforecaster with news 2),Qwen1.5-110b
llama-2-70b-chat,Llama-2-70b-Chat-Hf (zero shot with freeze values),Llama-2-70b
gemini-1.5-flash-001,Gemini-1.5-Flash (superforecaster with news 3),Gemini-1.5-Flash
llama-2-70b-chat,Llama-2-70b-Chat-Hf (scratchpad with freeze values),Llama-2-70b
gemini-1.5-flash-001,Gemini-1.5-Flash (superforecaster with news 2),Gemini-1.5-Flash
mixtral-8x7b-instruct-v0.1,Mixtral-8x7B-Instruct-V0.1 (scratchpad with news with freeze values),Mixtral-8x7b
claude-3-haiku-20240307,Claude-3-Haiku-20240307 (scratchpad with freeze values),Claude-3-Haiku
claude-3-haiku-20240307,Claude-3-Haiku-20240307 (superforecaster with news 2),Claude-3-Haiku
mixtral-8x7b-instruct-v0.1,Mixtral-8x7B-Instruct-V0.1 (superforecaster with news 3),Mixtral-8x7b
gemini-1.5-flash-001,Gemini-1.5-Flash (superforecaster with news 1),Gemini-1.5-Flash
claude-3-haiku-20240307,Claude-3-Haiku-20240307 (scratchpad),Claude-3-Haiku
claude-3-haiku-20240307,Claude-3-Haiku-20240307 (zero shot with freeze values),Claude-3-Haiku
llama-2-70b-chat,Llama-2-70b-Chat-Hf (scratchpad),Llama-2-70b
claude-2.1,Claude-2.1 (superforecaster with news 2),Claude-2.1
claude-2.1,Claude-2.1 (superforecaster with news 1),Claude-2.1
gpt-3.5-turbo-0125,GPT-3.5-Turbo-0125 (scratchpad with freeze values),GPT-3.5-Turbo
claude-3-haiku-20240307,Claude-3-Haiku-20240307 (scratchpad with news with freeze values),Claude-3-Haiku
claude-3-haiku-20240307,Claude-3-Haiku-20240307 (scratchpad with news),Claude-3-Haiku
mixtral-8x7b-instruct-v0.1,Mixtral-8x7B-Instruct-V0.1 (scratchpad with news),Mixtral-8x7b
gpt-3.5-turbo-0125,GPT-3.5-Turbo-0125 (scratchpad),GPT-3.5-Turbo
claude-3-haiku-20240307,Claude-3-Haiku-20240307 (zero shot),Claude-3-Haiku
claude-3-haiku-20240307,Claude-3-Haiku-20240307 (superforecaster with news 3),Claude-3-Haiku
llama-2-70b-chat,Llama-2-70b-Chat-Hf (zero shot),Llama-2-70b
claude-3-haiku-20240307,Claude-3-Haiku-20240307 (superforecaster with news 1),Claude-3-Haiku
gpt-3.5-turbo-0125,GPT-3.5-Turbo-0125 (zero shot with freeze values),GPT-3.5-Turbo
gpt-3.5-turbo-0125,GPT-3.5-Turbo-0125 (zero shot),GPT-3.5-Turbo
